BRAND,TOT_SALES
Kettle,390239.8
Smiths,210076.80000000002
Doritos,201538.90000000002
Pringles,177655.5
Old El Paso,90785.09999999999
Thins,88852.5
Twisties,81522.09999999999
Tostitos,79789.6
Infuzions,76247.59999999999
Cobs,70569.8
RRD,64954.5
Tyrrells,51647.4
Woolworths,49343.6
Grain Waves,43048.8
Natural Chip Company,42318.0
Dorito,40352.0
Cheezels,40029.9
Red,30091.500000000004
Infzns,22800.0
CCs,18078.9
Cheetos,16884.5
Smith,14583.4
GrnWves,8568.4
French,7929.0
Burger Rings,6830.999999999999
Snbts,5076.2
Sunbites,4600.2
